Tool,Phase,Case,Run,Scenario,Artifact,Iteration,Metric,Value
Jena_(No_Inferencing),Check,SwitchSet,2,Batch,128,1,Time,85569550
Jena_(No_Inferencing),Check,SwitchSet,2,Batch,128,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,4,Batch,64,1,Time,3124409188
Jena_(No_Inferencing),Check,SwitchSet,4,Batch,64,1,Time,25465899
Jena_(No_Inferencing),Check,SwitchSet,4,Batch,64,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,5,Batch,2,1,Time,134299641
Jena_(No_Inferencing),Check,ConnectedSegments,5,Batch,2,1,Time,23926849
Jena_(No_Inferencing),Check,ConnectedSegments,5,Batch,2,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,3,Batch,4,1,Time,430701628
Jena_(No_Inferencing),Check,RouteSensor,3,Batch,4,1,Time,53231577
Jena_(No_Inferencing),Check,RouteSensor,3,Batch,4,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,1,Batch,2,1,Time,715858531
Sesame_(No_Inferencing),Check,SwitchSet,1,Batch,2,1,Time,274962822
Sesame_(No_Inferencing),Check,SwitchSet,1,Batch,2,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,1,Batch,8,1,Time,1327924364
Sesame_(No_Inferencing),Check,ConnectedSegments,1,Batch,8,1,Time,1034390892
Sesame_(No_Inferencing),Check,ConnectedSegments,1,Batch,8,1,Matches,0
Sesame_(No_Inferencing),Read,RouteSensor,2,Batch,32,1,Time,2499897500
Sesame_(No_Inferencing),Check,RouteSensor,2,Batch,32,1,Time,164667802
Sesame_(No_Inferencing),Check,RouteSensor,2,Batch,32,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,1,Batch,1,1,Time,642661926
Sesame_(No_Inferencing),Check,ConnectedSegments,1,Batch,1,1,Time,590844824
Sesame_(No_Inferencing),Check,ConnectedSegments,1,Batch,1,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,5,Batch,32,1,Time,1896304514
Jena_(No_Inferencing),Check,SwitchSet,5,Batch,32,1,Time,12359446
Jena_(No_Inferencing),Check,SwitchSet,5,Batch,32,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,2,Batch,1,1,Time,106443609
Sesame_(No_Inferencing),Check,SwitchSet,2,Batch,1,1,Time,13192061
Sesame_(No_Inferencing),Check,SwitchSet,2,Batch,1,1,Matches,0
Jena_(No_Inferencing),Read,SwitchSet,5,Batch,1,1,Time,133737382
Jena_(No_Inferencing),Check,SwitchSet,5,Batch,1,1,Time,12977109
Jena_(No_Inferencing),Check,SwitchSet,5,Batch,1,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,1,Batch,32,1,Time,3805164460
Sesame_(No_Inferencing),Check,SwitchSet,1,Batch,32,1,Time,640729477
Sesame_(No_Inferencing),Check,SwitchSet,1,Batch,32,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,2,Batch,64,1,Time,3531086148
Sesame_(No_Inferencing),Check,ConnectedSegments,2,Batch,64,1,Time,5118846175
Sesame_(No_Inferencing),Check,ConnectedSegments,2,Batch,64,1,Matches,0
Sesame_(No_Inferencing),Read,ConnectedSegments,3,Batch,8,1,Time,390977194
Sesame_(No_Inferencing),Check,ConnectedSegments,3,Batch,8,1,Time,548400719
Sesame_(No_Inferencing),Check,ConnectedSegments,3,Batch,8,1,Matches,0
Jena_(No_Inferencing),Read,ConnectedSegments,2,Batch,4,1,Time,402546312
Jena_(No_Inferencing),Check,ConnectedSegments,2,Batch,4,1,Time,115047347
Jena_(No_Inferencing),Check,ConnectedSegments,2,Batch,4,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,4,Batch,16,1,Time,1130705350
Sesame_(No_Inferencing),Check,SwitchSet,4,Batch,16,1,Time,87166242
Sesame_(No_Inferencing),Check,SwitchSet,4,Batch,16,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,2,Batch,64,1,Time,5960866654
Sesame_(No_Inferencing),Check,SwitchSet,2,Batch,64,1,Time,222613019
Sesame_(No_Inferencing),Check,SwitchSet,2,Batch,64,1,Matches,0
Sesame_(No_Inferencing),Read,SwitchSet,5,Batch,64,1,Time,3647970529
Sesame_(No_Inferencing),Check,SwitchSet,5,Batch,64,1,Time,123352266
Sesame_(No_Inferencing),Check,SwitchSet,5,Batch,64,1,Matches,0
Jena_(No_Inferencing),Read,RouteSensor,5,Batch,128,1,Time,8348852716
